movie,theatre,timeUnit,startTimeDate,endTimeDate,startTimeDate_Trailer,endTimeDate_Trailer,startTimeDate_PreAds,endTimeDate_PreAds,startTimeDate_CleanUp,endTimeDate_CleanUp
 Kin ,0,3,2020-01-26 13:45:00,2020-01-26 15:27:00,2020-01-26 13:25:00,2020-01-26 13:45:00,2020-01-26 12:55:00,2020-01-26 13:25:00,2020-01-26 15:27:00,2020-01-26 15:42:00
 Kin ,0,14,2020-01-26 16:30:00,2020-01-26 18:12:00,2020-01-26 16:10:00,2020-01-26 16:30:00,2020-01-26 15:40:00,2020-01-26 16:10:00,2020-01-26 18:12:00,2020-01-26 18:27:00
 Kin ,0,26,2020-01-26 19:30:00,2020-01-26 21:12:00,2020-01-26 19:10:00,2020-01-26 19:30:00,2020-01-26 18:40:00,2020-01-26 19:10:00,2020-01-26 21:12:00,2020-01-26 21:27:00
 Kin ,1,11,2020-01-26 15:45:00,2020-01-26 17:27:00,2020-01-26 15:25:00,2020-01-26 15:45:00,2020-01-26 14:55:00,2020-01-26 15:25:00,2020-01-26 17:27:00,2020-01-26 17:42:00
 Kin ,1,22,2020-01-26 18:30:00,2020-01-26 20:12:00,2020-01-26 18:10:00,2020-01-26 18:30:00,2020-01-26 17:40:00,2020-01-26 18:10:00,2020-01-26 20:12:00,2020-01-26 20:27:00
 Kin ,1,33,2020-01-26 21:15:00,2020-01-26 22:57:00,2020-01-26 20:55:00,2020-01-26 21:15:00,2020-01-26 20:25:00,2020-01-26 20:55:00,2020-01-26 22:57:00,2020-01-26 23:12:00
 Kin ,2,13,2020-01-26 16:15:00,2020-01-26 17:57:00,2020-01-26 15:55:00,2020-01-26 16:15:00,2020-01-26 15:25:00,2020-01-26 15:55:00,2020-01-26 17:57:00,2020-01-26 18:12:00
 Kin ,2,24,2020-01-26 19:00:00,2020-01-26 20:42:00,2020-01-26 18:40:00,2020-01-26 19:00:00,2020-01-26 18:10:00,2020-01-26 18:40:00,2020-01-26 20:42:00,2020-01-26 20:57:00
 Happytime Murd,2,1,2020-01-26 13:15:00,2020-01-26 14:46:00,2020-01-26 12:55:00,2020-01-26 13:15:00,2020-01-26 12:25:00,2020-01-26 12:55:00,2020-01-26 14:46:00,2020-01-26 15:01:00
 Happytime Murd,2,38,2020-01-26 22:30:00,2020-01-27 00:01:00,2020-01-26 22:10:00,2020-01-26 22:30:00,2020-01-26 21:40:00,2020-01-26 22:10:00,2020-01-27 00:01:00,2020-01-27 00:16:00
 Alpha ,0,37,2020-01-26 22:15:00,2020-01-26 23:52:00,2020-01-26 21:55:00,2020-01-26 22:15:00,2020-01-26 21:25:00,2020-01-26 21:55:00,2020-01-26 23:52:00,2020-01-27 00:07:00
 Alpha ,1,0,2020-01-26 13:00:00,2020-01-26 14:37:00,2020-01-26 12:40:00,2020-01-26 13:00:00,2020-01-26 12:10:00,2020-01-26 12:40:00,2020-01-26 14:37:00,2020-01-26 14:52:00
